final_stage_simple,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,stage_total_cost,cost_share_within_stage,rank_within_stage
I,ENBREL,16,1,152902.68852688343,644.0039097156681,9556.418032930214,7030.34713131352,152902.68852688343,16.0,646394.9025015612,0.23654686621931417,1.0
I,JAKAFI,9,1,146117.324258887,270.0167238259001,16235.258250987445,16349.4274728611,146117.324258887,9.0,646394.9025015612,0.22604962337018752,2.0
I,VERZENIO,7,3,97362.0129876178,196.0458083658776,13908.858998231113,13638.24,32454.00432920593,2.3333333333333335,646394.9025015612,0.15062311384391316,3.0
I,ANASTROZOLE,2530,248,50617.450223367116,126360.38781239073,20.006897321488978,15.4150346340036,204.10262186841578,10.201612903225806,646394.9025015612,0.07830731651421843,4.0
I,EXEMESTANE,297,50,50145.07075395879,13929.01044137147,168.8386220672013,114.54,1002.9014150791758,5.94,646394.9025015612,0.07757652568096741,5.0
I,LUPRON DEPOT,22,1,33544.866710663286,620.1048791027584,1524.766668666513,1540.31,33544.866710663286,22.0,646394.9025015612,0.05189531442906493,6.0
I,KISQALI,3,1,27030.34272160407,84.0091627383094,9010.114240534689,6757.66245146736,27030.34272160407,3.0,646394.9025015612,0.041817072840451094,7.0
I,TAMOXIFEN CITRATE,814,68,25398.371347947323,32927.187118382564,31.20193040288369,25.98,373.5054609992253,11.970588235294118,646394.9025015612,0.0392923447410478,8.0
I,LETROZOLE,514,64,12082.965073951427,26227.18771100764,23.507714151656472,21.15,188.79632928049105,8.03125,646394.9025015612,0.018692853280850623,9.0
I,CAPECITABINE,7,5,9987.81133940294,133.0035382308461,1426.8301913432772,1561.49,1997.562267880588,1.4,646394.9025015612,0.015451562660457115,10.0
II,IBRANCE,7,1,87348.65999999999,196.0,12478.38,12478.38,87348.65999999999,7.0,246680.16880766756,0.35409680649320574,1.0
II,VERZENIO,4,1,54552.96,112.0,13638.24,13638.24,54552.96,4.0,246680.16880766756,0.22114854332913172,2.0
II,EXEMESTANE,138,12,28846.70682550518,6089.650739464812,209.03410743119696,164.275003649538,2403.8922354587653,11.5,246680.16880766756,0.11693970765844773,3.0
II,NEUPOGEN,5,2,21922.57,72.0,4384.514,5143.84,10961.285,2.5,246680.16880766756,0.08887041915839074,4.0
II,CAPECITABINE,30,3,17594.78,798.0,586.4926666666667,446.89,5864.926666666666,10.0,246680.16880766756,0.07132628490180075,5.0
II,ANASTROZOLE,482,40,9263.77014285493,23674.242567187634,19.21944013040442,12.75,231.59425357137326,12.05,246680.16880766756,0.037553769269866755,6.0
II,GONAL-F RFF REDI-JECT,1,1,5691.86,18.0,5691.86,5691.86,5691.86,1.0,246680.16880766756,0.02307384508252809,7.0
II,TAMOXIFEN CITRATE,209,16,5617.315022657993,6978.813570318481,26.877105371569343,21.94,351.08218891612455,13.0625,246680.16880766756,0.02277165225648001,8.0
II,POTASSIUM CHLORIDE,16,4,2710.29,282.0,169.393125,237.93,677.5725,4.0,246680.16880766756,0.010987060747932147,9.0
II,LUPRON DEPOT,3,1,2352.7,84.0,784.2333333333332,917.17,2352.7,3.0,246680.16880766756,0.009537450908079932,10.0
III,IBRANCE,61,2,655147.41,1491.0,10740.121475409836,11936.45,327573.705,30.5,771845.7867526622,0.8488060973376045,1.0
III,VERZENIO,4,2,58304.1300874922,112.08359870437,14576.03252187305,14575.53697596575,29152.0650437461,2.0,771845.7867526622,0.07553857401073791,2.0
III,PIQRAY,1,1,20893.46,28.0063175726972,20893.46,20893.46,20893.46,1.0,771845.7867526622,0.0270694747041423,3.0
III,EXEMESTANE,72,5,16734.118608968987,4020.3470573049226,232.41831401345814,164.81,3346.8237217937976,14.4,771845.7867526622,0.02168065032702113,4.0
III,CAPECITABINE,8,2,9941.33,168.0114834196738,1242.66625,1171.12,4970.665,4.0,771845.7867526622,0.012879943339232992,5.0
III,ANASTROZOLE,153,16,2610.151302318532,6030.596267631685,17.059812433454457,14.9056230464266,163.13445639490826,9.5625,771845.7867526622,0.0033817005250492537,6.0
III,LETROZOLE,114,9,1977.0571185899605,4080.5254904641647,17.342606303420705,11.35,219.67301317666227,12.666666666666666,771845.7867526622,0.0025614664904862767,7.0
III,OZEMPIC,2,1,1784.0696513711341,56.00218636591,892.0348256855671,892.0348256855671,1784.0696513711341,2.0,771845.7867526622,0.002311432778401418,8.0
III,PROCHLORPERAZINE MALEA,56,28,1162.0880161370414,605.0973923002786,20.751571716732883,19.0,41.503143433465766,2.0,771845.7867526622,0.0015055961126978754,9.0
III,DEXAMETHASONE,50,21,571.4122257110234,403.0925658944956,11.428244514220468,11.35150349534215,27.21010598623921,2.380952380952381,771845.7867526622,0.0007403191615712381,10.0
IV,IBRANCE,261,12,3044419.7,7276.0,11664.443295019159,11936.45,253701.6416666667,21.75,4281229.226171852,0.711108781886512,1.0
IV,NERLYNX,45,1,683458.99,1350.0,15187.977555555555,17203.93,683458.99,45.0,4281229.226171852,0.15964083068056806,2.0
IV,VERZENIO,36,6,448726.6884220838,1008.0378415144457,12464.630233946773,11621.720000000001,74787.78140368064,6.0,4281229.226171852,0.10481258178818,3.0
IV,EVEROLIMUS,4,1,40712.8,112.0,10178.2,10178.2,40712.8,4.0,4281229.226171852,0.009509605267364808,4.0
IV,KISQALI,1,1,18368.7537015371,28.0427061249869,18368.7537015371,18368.7537015371,18368.7537015371,1.0,4281229.226171852,0.004290532632367806,5.0
IV,CAPECITABINE,22,1,14635.75,595.0,665.2613636363636,670.34,14635.75,22.0,4281229.226171852,0.0034185859310053466,6.0
IV,AFINITOR,2,1,14395.099999999999,28.0,7197.549999999999,7197.549999999999,14395.099999999999,2.0,4281229.226171852,0.0033623754392781416,7.0
IV,LETROZOLE,257,12,5936.64938686216,12179.415649966546,23.09980306172047,22.4458542109769,494.7207822385133,21.416666666666668,4281229.226171852,0.0013866693590173717,8.0
IV,EXEMESTANE,25,6,4645.299720480223,1277.1467698000267,185.81198881920892,171.92,774.2166200800372,4.166666666666667,4281229.226171852,0.0010850387762661128,9.0
IV,ANASTROZOLE,92,11,1293.9652016210073,4230.473808445195,14.064839148054427,9.35,117.63320014736429,8.363636363636363,4281229.226171852,0.00030224151365472023,10.0
